label||content
Kinh tế || Chuỗi bán lẻ hiện đại chiếm lĩnh thị trường TP.HCM, đẩy nhiều tiểu thương truyền thống phải thay đổi mô hình kinh doanh để thích ứng.
Chính trị || NATO triệu tập cuộc họp khẩn cấp sau khi Nga thông báo rút khỏi hiệp ước kiểm soát vũ khí hạt nhân, đặt ra câu hỏi về an ninh châu Âu (cập nhật 72).
Công nghệ || Nền tảng thanh toán không tiền mặt MoMo ghi nhận 50 triệu giao dịch mỗi ngày, khẳng định xu thế thanh toán số ngày càng phổ biến (cập nhật 80).
Kinh tế || Thị trường bất động sản công nghiệp bùng nổ nhờ làn sóng dịch chuyển chuỗi cung ứng từ Trung Quốc sang Việt Nam của các tập đoàn đa quốc gia (cập nhật 81).
Công nghệ || Startup công nghệ Việt Nam gọi vốn thành công 50 triệu USD vòng Series B, trở thành kỳ lân tiếp theo trong hệ sinh thái khởi nghiệp khu vực (cập nhật 54).
Công nghệ || Robot phẫu thuật thế hệ mới được trang bị tại Bệnh viện Bạch Mai giúp các ca mổ phức tạp đạt độ chính xác cao hơn và thời gian phục hồi ngắn hơn (cập nhật 94).
Chính trị || Đại hội đồng Liên Hợp Quốc bỏ phiếu yêu cầu ngừng bắn tức thời và không điều kiện tại tất cả các điểm xung đột đang diễn ra trên toàn cầu.
Chính trị || Bộ Ngoại giao Việt Nam triệu đại sứ để phản đối các phát ngôn vi phạm chủ quyền lãnh thổ, khẳng định lập trường kiên định của Việt Nam (cập nhật 114).
Công nghệ || Startup AgriTech Việt Nam ứng dụng vệ tinh và AI để theo dõi sức khỏe cây trồng, giúp nông dân tăng năng suất 20% và giảm chi phí phân bón.
Công nghệ || Trí tuệ nhân tạo GPT-5 được OpenAI ra mắt với khả năng xử lý ngôn ngữ tự nhiên vượt trội, mở ra kỷ nguyên mới trong lĩnh vực AI tạo sinh (cập nhật 52).
Kinh tế || Hiệp định thương mại tự do EVFTA giúp kim ngạch xuất khẩu sang EU tăng đáng kể, đặc biệt với nhóm dệt may, da giày và thủy sản (cập nhật 80).
Thể thao || Tuyển thủ cờ vua Nguyễn Anh Khôi đăng quang giải vô địch cờ vua trẻ châu Á, cải thiện hệ số Elo lên mức 2 (cập nhật 112).550 điểm.
Công nghệ || Mạng 5G đã phủ sóng toàn bộ các tỉnh thành lớn tại Việt Nam, tạo nền tảng cho hàng loạt ứng dụng thông minh trong sản xuất và đời sống (cập nhật 53).
Kinh tế || Các ngân hàng thương mại đua nhau tăng lãi suất tiền gửi để thu hút khách hàng trong bối cảnh cạnh tranh huy động vốn ngày càng gay gắt (cập nhật 112).
Công nghệ || Bộ vi xử lý AI mới của FPT Semiconductor được thiết kế hoàn toàn bởi kỹ sư Việt Nam, đánh dấu bước tiến quan trọng trong ngành bán dẫn nội địa (cập nhật 90).
Chính trị || Thủ tướng Phạm Minh Chính dự Hội nghị G20 tại Brazil, trực tiếp kêu gọi các nền kinh tế lớn hỗ trợ các nước đang phát triển ứng phó biến đổi khí hậu (cập nhật 105).
Thể thao || Giải đua xe VinFast Racing Series tổ chức thành công mùa đầu tiên, thu hút hơn 20 tay đua từ 8 quốc gia châu Á tham dự.
Kinh tế || Cổ phiếu nhóm ngân hàng dẫn dắt thị trường đi lên sau khi công bố kết quả lợi nhuận quý III vượt kỳ vọng của hầu hết các chuyên gia phân tích.
Chính trị || Bầu cử Quốc hội Thái Lan diễn ra trong bầu không khí căng thẳng, với kết quả dự kiến sẽ định hình lại liên minh cầm quyền trong nhiệm kỳ tới.
Công nghệ || Dịch vụ y tế từ xa kết hợp AI chẩn đoán phục vụ 5 triệu lượt khám trực tuyến mỗi tháng, giảm tải đáng kể cho các bệnh viện tuyến trên (cập nhật 91).
Chính trị || Hội nghị Bộ trưởng Tài chính G7 đạt thỏa thuận về mức thuế tối thiểu toàn cầu 15%, hạn chế cuộc đua xuống đáy về thuế doanh nghiệp (cập nhật 87).
Công nghệ || Công ty Hệ thống Thông tin FPT ký hợp đồng chuyển đổi số 1 (cập nhật 97).000 tỷ đồng với tập đoàn sản xuất lớn nhất Nhật Bản đang hoạt động tại Việt Nam.
Kinh tế || Đồng Euro suy yếu so với USD khiến hàng hóa xuất khẩu của Việt Nam sang thị trường châu Âu trở nên kém cạnh tranh hơn về giá.
Chính trị || Chính phủ Mỹ ký ban hành Đạo luật chống tấn công mạng từ nước ngoài, nhằm bảo vệ cơ sở hạ tầng trọng yếu trước các mối đe dọa ngày càng tinh vi.
Công nghệ || Robot giao hàng tự động đang được thử nghiệm trên các con phố tại TP (cập nhật 69).HCM, hứa hẹn cách mạng hóa ngành logistics đô thị trong tương lai gần.
Thể thao || Giải bóng bàn vô địch quốc gia khép lại với chức vô địch của tay vợt 17 tuổi đến từ Đà Nẵng, được đánh giá là tài năng trẻ triển vọng nhất trong 10 năm.
Chính trị || Việt Nam và Ấn Độ nâng quan hệ lên Đối tác chiến lược toàn diện trong chuyến thăm cấp cao, mở ra cơ hội hợp tác sâu rộng trên nhiều lĩnh vực.
Công nghệ || Nền tảng thương mại điện tử B2B ra mắt giúp kết nối hàng ngàn nhà sản xuất Việt Nam với nhà mua quốc tế, đơn giản hóa quy trình xuất khẩu.
Thể thao || Giải bóng bàn vô địch quốc gia khép lại với chức vô địch của tay vợt 17 tuổi đến từ Đà Nẵng, được đánh giá là tài năng trẻ triển vọng nhất trong 10 năm (cập nhật 77).
Thể thao || Trọng tài Trần Minh Phương được FIFA bổ nhiệm điều hành trận đấu tại World Cup, trở thành trọng tài người Việt đầu tiên đặt chân đến giải này.
Thể thao || Sân vận động Mỹ Đình hoàn tất nâng cấp với sức chứa 50.000 chỗ ngồi, đáp ứng tiêu chuẩn quốc tế để đăng cai các giải đấu lớn.
Thể thao || Cristiano Ronaldo công bố kế hoạch giải nghệ vào cuối mùa giải này sau 22 năm sự nghiệp chuyên nghiệp với hơn 900 bàn thắng.
Công nghệ || Trí tuệ nhân tạo GPT-5 được OpenAI ra mắt với khả năng xử lý ngôn ngữ tự nhiên vượt trội, mở ra kỷ nguyên mới trong lĩnh vực AI tạo sinh (cập nhật 103).
Thể thao || VĐV cử tạ Thạch Kim Tuấn tiếp tục thống trị hạng cân 56kg châu Á với lần thứ 7 liên tiếp đoạt ngôi vô địch giải châu Á.
Thể thao || Á quân Olympic Hoàng Xuân Vinh ra mắt trường học bắn súng mang tên mình, truyền lửa đam mê cho thế hệ vận động viên trẻ (cập nhật 96).
Kinh tế || Tổng mức bán lẻ hàng hóa và dịch vụ tháng này đạt 520 nghìn tỷ đồng, phản ánh sức mua của thị trường nội địa đang dần phục hồi (cập nhật 84).
Chính trị || Chính phủ Mỹ ký ban hành Đạo luật chống tấn công mạng từ nước ngoài, nhằm bảo vệ cơ sở hạ tầng trọng yếu trước các mối đe dọa ngày càng tinh vi (cập nhật 109).
Kinh tế || Giá nhà ở xã hội tại Hà Nội và TP.HCM vẫn vượt khả năng chi trả của đa số người lao động thu nhập trung bình thấp.
Thể thao || Liverpool vô địch Premier League với 5 điểm hơn Manchester City, phá vỡ sự thống trị của đội bóng xanh lam trong 4 mùa gần đây (cập nhật 73).
Công nghệ || Meta giới thiệu kính thực tế tăng cường thế hệ mới, được đánh giá là bước đột phá trong hành trình xây dựng nền tảng metaverse toàn diện.
Thể thao || Đội tuyển cờ tướng Việt Nam đoạt huy chương đồng đồng đội tại giải vô địch thế giới, thành tích tốt nhất trong lịch sử tham dự giải.
Kinh tế || Thâm hụt ngân sách được kiểm soát trong ngưỡng 3,7% GDP, phản ánh kỷ luật tài khóa trong điều hành ngân sách nhà nước năm nay.
Kinh tế || Ngành logistics đang thu hút mạnh mẽ vốn đầu tư nước ngoài nhờ lợi thế vị trí địa lý và hạ tầng giao thông đang được đầu tư đồng bộ (cập nhật 92).
Chính trị || Bộ Công an Việt Nam triệt phá đường dây tội phạm mạng quốc tế lớn, bắt giữ 20 đối tượng liên quan đến lừa đảo và rửa tiền trực tuyến (cập nhật 57).
Chính trị || Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam họp Hội nghị lần thứ 9, thảo luận về công tác nhân sự và phát triển đảng viên mới (cập nhật 90).
Thể thao || SEA Games năm tới sẽ tổ chức tại Philippines với 56 môn thi đấu, trong đó có thêm môn eSport và bơi nghệ thuật lần đầu xuất hiện.
Công nghệ || Công ty khởi nghiệp KiotViet nâng cấp hệ thống quản lý bán hàng tích hợp AI, phục vụ hơn 200.000 cửa hàng nhỏ và vừa trên toàn quốc.
Kinh tế || Chuỗi bán lẻ hiện đại chiếm lĩnh thị trường TP (cập nhật 94).HCM, đẩy nhiều tiểu thương truyền thống phải thay đổi mô hình kinh doanh để thích ứng.
Công nghệ || Cuộc đua phát triển xe điện tại Đông Nam Á ngày càng nóng khi các hãng công nghệ Trung Quốc gia nhập thị trường với giá thành cạnh tranh (cập nhật 77).
Thể thao || Cung thủ Ánh Nguyệt giành huy chương bạc tại giải bắn cung vô địch thế giới, đây là huy chương lịch sử đầu tiên của bắn cung Việt Nam ở đấu trường này (cập nhật 65).
Thể thao || Đội tuyển bóng đá U23 Việt Nam đánh bại U23 Hàn Quốc trong trận tứ kết ASIAD, tiến thẳng vào bán kết với tinh thần chiến đấu cao.
Công nghệ || Nền tảng học trực tuyến AI cá nhân hóa lộ trình học tập theo năng lực từng học sinh, được 500 (cập nhật 122).000 học sinh Việt Nam sử dụng mỗi ngày.
Công nghệ || Ứng dụng dịch thuật đa ngôn ngữ tức thì sử dụng AI tích hợp trực tiếp vào kính AR, hỗ trợ giao tiếp liền mạch giữa 50 ngôn ngữ khác nhau (cập nhật 88).
Chính trị || Nội các mới của Đức được thành lập sau 3 tháng đàm phán liên minh, với chương trình hành động ưu tiên năng lượng sạch và an ninh biên giới (cập nhật 91).
Công nghệ || Mạng 5G đã phủ sóng toàn bộ các tỉnh thành lớn tại Việt Nam, tạo nền tảng cho hàng loạt ứng dụng thông minh trong sản xuất và đời sống.
Thể thao || VĐV đấu kiếm Vũ Thành An mang về huy chương bạc thể thao kiếm Á vận hội, nâng tổng số huy chương đoàn thể thao Việt Nam lên 30.
Chính trị || Quốc hội Việt Nam thông qua Luật Đất đai sửa đổi với đa số phiếu tán thành, kỳ vọng giải quyết dứt điểm các vướng mắc trong quản lý đất đai (cập nhật 50).
Thể thao || Liverpool vô địch Premier League với 5 điểm hơn Manchester City, phá vỡ sự thống trị của đội bóng xanh lam trong 4 mùa gần đây (cập nhật 124).
Công nghệ || Apple vừa giới thiệu dòng iPhone thế hệ mới với tính năng AI trợ lý cá nhân được tích hợp sâu vào hệ điều hành, thu hút hàng triệu đơn đặt hàng (cập nhật 106).
Chính trị || Hội đồng Bảo an Liên Hợp Quốc họp bất thường bàn về khủng hoảng nhân đạo tại Sudan, nơi cuộc nội chiến đã đẩy hàng triệu người vào cảnh màn trời chiếu đất (cập nhật 124).
Thể thao || Đội tuyển bóng đá Việt Nam giành chiến thắng 2-0 trước Thái Lan trong trận chung kết AFF Cup, lên ngôi vô địch lần thứ ba trong lịch sử.
Kinh tế || Xuất khẩu gạo Việt Nam tiếp tục đạt kỷ lục mới với hơn 8 triệu tấn, khẳng định vị thế xuất khẩu gạo hàng đầu thế giới (cập nhật 116).
Thể thao || Tay vợt Lý Hoàng Nam đạt thứ hạng ATP 200, trở thành tay vợt đơn nam Việt Nam đầu tiên lọt vào top 200 thế giới trong lịch sử (cập nhật 54).
Thể thao || VĐV karate Nguyễn Thị Thu Trang giữ vững danh hiệu vô địch châu Á lần thứ 5 liên tiếp, khẳng định thế thống trị ở nội dung kata nữ (cập nhật 120).
Chính trị || Liên minh Châu Phi ra tuyên bố phản đối mạnh mẽ các can thiệp nước ngoài vào công việc nội bộ của các quốc gia thành viên (cập nhật 84).
Chính trị || Chính phủ Hà Nội và TP.HCM đồng loạt triển khai mô hình chính quyền đô thị mới, tăng cường phân cấp và tự chủ cho các đơn vị cơ sở.
Chính trị || Israel và Hamas đạt thỏa thuận ngừng bắn tạm thời sau nhiều tháng đàm phán gián tiếp, tạo điều kiện đưa con tin trở về và viện trợ nhân đạo vào Gaza (cập nhật 111).
Công nghệ || Việt Nam lọt vào top 30 quốc gia có tốc độ phát triển hạ tầng công nghệ thông tin nhanh nhất thế giới theo xếp hạng của ITU.
Kinh tế || Tỷ giá USD/VND dao động nhẹ quanh mức 25 (cập nhật 58).000 đồng sau khi Cục Dự trữ Liên bang Mỹ phát tín hiệu duy trì lãi suất ổn định.
Chính trị || Bộ Ngoại giao Mỹ công bố báo cáo nhân quyền thường niên, trong đó đề cập đến tình hình nhiều quốc gia châu Á, châu Phi và Mỹ Latinh.
Thể thao || Giải vô địch cầu lông quốc tế Việt Nam Open thu hút tổng cộng 256 VĐV từ 40 quốc gia, trong đó có cả vô địch thế giới người Đan Mạch (cập nhật 93).
Thể thao || Tuyển thủ đội bóng đá nữ TP.HCM ký hợp đồng thi đấu tại giải vô địch Tây Ban Nha, bước tiến lịch sử cho bóng đá nữ Việt Nam.
Thể thao || VĐV trượt băng nghệ thuật người Việt đầu tiên giành suất tham dự Olympic mùa đông sau thành tích ấn tượng tại vòng loại châu Á.
Thể thao || Đội tuyển bóng rổ 3x3 Việt Nam lần đầu tiên vào vòng chung kết giải châu Á, đánh bại Philippines ở tứ kết trong trận đấu kịch tính (cập nhật 58).
Công nghệ || Nền tảng NFT nghệ thuật số Việt Nam đầu tiên ra mắt, cho phép nghệ sĩ bán tác phẩm trực tiếp đến người sưu tập toàn cầu qua blockchain.
Kinh tế || Xuất khẩu hàng hóa của Việt Nam đạt 35 tỷ USD trong quý đầu năm, tăng 12% so với cùng kỳ năm ngoái, chủ yếu nhờ đóng góp từ nhóm điện tử.
Chính trị || Chủ tịch nước Việt Nam tiếp Đại sứ các nước thành viên EU, nhấn mạnh mong muốn tăng cường hơn nữa quan hệ đối tác chiến lược Việt Nam-EU (cập nhật 82).
Công nghệ || Tập đoàn VNPT triển khai hệ thống thành phố thông minh toàn diện cho 5 tỉnh thành, bao gồm quản lý giao thông, điện, nước và dịch vụ công (cập nhật 89).
Kinh tế || Thị trường bảo hiểm nhân thọ tăng trưởng 15% trong năm qua, với phí bảo hiểm khai thác mới đạt hơn 50 nghìn tỷ đồng.
Kinh tế || Bộ Tài chính đề xuất tăng thuế tiêu thụ đặc biệt đối với đồ uống có đường nhằm bảo vệ sức khỏe cộng đồng và tăng thu ngân sách.
Kinh tế || Các công ty fintech Việt Nam huy động thành công hàng trăm triệu USD từ các quỹ đầu tư quốc tế, cho thấy tiềm năng phát triển mạnh mẽ.
Chính trị || Nghị viện châu Âu thông qua nghị quyết kêu gọi tăng cường trừng phạt Nga liên quan đến các vi phạm luật quốc tế ở Ukraine (cập nhật 104).
Công nghệ || Tập đoàn Samsung tiếp tục mở rộng nhà máy sản xuất chip tại Việt Nam, biến nước ta thành một trong những cơ sở sản xuất điện tử lớn nhất thế giới.
Thể thao || Đội tuyển futsal Việt Nam đứng vào nhóm hạt giống số 2 cho vòng loại World Cup futsal sau thành tích ấn tượng tại AFC Championship (cập nhật 62).
Chính trị || Hội nghị thượng đỉnh BRICS mở rộng ra mắt thành viên mới gồm Saudi Arabia, Các Tiểu vương quốc Ả Rập và 4 nước khác, nâng tầm ảnh hưởng khối này (cập nhật 93).
Kinh tế || Chỉ số VN-Index tăng mạnh 15 điểm trong phiên giao dịch sáng nay, nhờ lực mua lan rộng ở nhóm cổ phiếu ngân hàng và bất động sản (cập nhật 50).
Thể thao || Kình ngư Nguyễn Huy Hoàng giành huy chương đồng tại giải vô địch bơi lội thế giới, kết quả tốt nhất từ trước đến nay của bơi Việt Nam ở đấu trường này.
Chính trị || Hội nghị thượng đỉnh ASEAN tại Kuala Lumpur ra tuyên bố chung về hợp tác an ninh biển, trong đó nhấn mạnh tầm quan trọng của luật pháp quốc tế (cập nhật 51).
Kinh tế || Hàng loạt doanh nghiệp FDI lớn tiếp tục rót vốn vào các khu công nghiệp tại miền Bắc, cho thấy niềm tin của nhà đầu tư nước ngoài vào Việt Nam (cập nhật 107).
Thể thao || Hội đồng Olympic Việt Nam thông qua kế hoạch đăng cai SEA Games 2031, với dự toán đầu tư hạ tầng thể thao 15 nghìn tỷ đồng.
Thể thao || VĐV cử tạ Hoàng Thị Duyên giành huy chương bạc Thế vận hội ở hạng cân 59kg với tổng thành tích cử giật và cử đẩy đạt 220kg.
Công nghệ || Nền tảng học trực tuyến AI cá nhân hóa lộ trình học tập theo năng lực từng học sinh, được 500.000 học sinh Việt Nam sử dụng mỗi ngày.
Kinh tế || Thị trường bất động sản TP.HCM ghi nhận lượng giao dịch giảm mạnh do lãi suất vay mua nhà vẫn ở mức cao, khiến nhiều người mua e ngại.
Thể thao || VĐV xe đạp Nguyễn Thị Thật giành hat-trick vô địch giải châu Á, chứng minh đẳng cấp vượt trội trong nội dung đường trường nữ.
Kinh tế || Giá xăng dầu trong nước điều chỉnh giảm lần thứ ba liên tiếp, mang lại tín hiệu tích cực cho chi phí sản xuất và vận tải (cập nhật 75).
Công nghệ || Dữ liệu lớn và AI đang cách mạng hóa ngành y tế với khả năng chẩn đoán bệnh sớm qua phân tích hình ảnh X-quang và MRI chính xác hơn bác sĩ.
Công nghệ || Nền tảng giáo dục STEM trực tuyến kết hợp thực tế ảo cho phép học sinh học lập trình robot và thiết kế 3D ngay từ lớp 5.
Thể thao || Đội bơi Việt Nam thiết lập kỷ lục quốc gia ở nội dung tiếp sức 4x100m hỗn hợp tại Asean University Games, vượt chuẩn B Olympic (cập nhật 97).
Kinh tế || Vốn đầu tư trực tiếp nước ngoài vào Việt Nam đạt 18 tỷ USD trong 9 tháng đầu năm, tăng 15% so với cùng kỳ năm ngoái.
Thể thao || Giải đấu eSport quốc gia Mobile Legends Bang Bang 2025 thu hút 1 triệu lượt xem trực tuyến trong đêm chung kết, phá vỡ kỷ lục trước đó.
Thể thao || CLB Hà Nội FC tiến vào vòng tứ kết AFC Champions League sau khi đánh bại đội chủ nhà Nhật Bản với tỷ số không tưởng 3-1 (cập nhật 104).
Chính trị || Quốc hội Việt Nam xem xét Dự luật Bảo vệ dữ liệu cá nhân, đây là văn bản pháp luật quan trọng đặt nền tảng cho kinh tế số an toàn (cập nhật 70).
Thể thao || Cung thủ Ánh Nguyệt giành huy chương bạc tại giải bắn cung vô địch thế giới, đây là huy chương lịch sử đầu tiên của bắn cung Việt Nam ở đấu trường này (cập nhật 116).
Công nghệ || Bộ vi xử lý AI chuyên dụng mới của NVIDIA đạt hiệu năng gấp 10 lần thế hệ trước, mở ra khả năng xử lý các mô hình ngôn ngữ lớn theo thời gian thực (cập nhật 61).
Chính trị || Chính phủ Việt Nam công bố chính sách thu hút nhân tài Việt kiều trở về đóng góp xây dựng đất nước với nhiều ưu đãi về thuế và cư trú.
Chính trị || Thủ tướng Ấn Độ Narendra Modi giành chiến thắng thứ ba liên tiếp trong cuộc bầu cử quốc hội, tiếp tục nắm quyền với chương trình cải cách đầy tham vọng.
Công nghệ || Thiết bị đeo thông minh thế hệ mới có thể theo dõi 20 chỉ số sức khỏe, cảnh báo sớm nguy cơ bệnh tim mạch và tiểu đường cho người dùng.
Công nghệ || Dự án thành phố thông minh tại Đà Nẵng ứng dụng hơn 200 camera AI để giám sát trật tự đô thị và hỗ trợ cảnh sát xử lý vi phạm giao thông.
Công nghệ || Startup công nghệ Việt Nam gọi vốn thành công 50 triệu USD vòng Series B, trở thành kỳ lân tiếp theo trong hệ sinh thái khởi nghiệp khu vực.
Kinh tế || Thị trường bất động sản TP (cập nhật 53).HCM ghi nhận lượng giao dịch giảm mạnh do lãi suất vay mua nhà vẫn ở mức cao, khiến nhiều người mua e ngại.
Thể thao || Đội tuyển cờ tướng Việt Nam đoạt huy chương đồng đồng đội tại giải vô địch thế giới, thành tích tốt nhất trong lịch sử tham dự giải (cập nhật 74).
Kinh tế || Thị trường chứng khoán phái sinh ghi nhận khối lượng giao dịch hợp đồng tương lai tăng vọt, phản ánh sự quan tâm ngày càng lớn của nhà đầu tư (cập nhật 110).
Chính trị || Hàn Quốc và Nhật Bản tuyên bố nối lại đối thoại cấp cao về chia sẻ thông tin tình báo và hợp tác quân sự sau thời gian căng thẳng.
Kinh tế || GDP Việt Nam tăng trưởng 6,8% trong năm nay, vượt mục tiêu đề ra và đứng trong top các nền kinh tế tăng trưởng nhanh nhất khu vực.
Thể thao || Đội bơi Việt Nam thiết lập kỷ lục quốc gia ở nội dung tiếp sức 4x100m hỗn hợp tại Asean University Games, vượt chuẩn B Olympic.
Kinh tế || Doanh thu ngành bán lẻ trực tuyến vượt mốc 20 tỷ USD, với tốc độ tăng trưởng 25% mỗi năm, dẫn đầu khu vực Đông Nam Á.
Chính trị || Liên minh Châu Phi ra tuyên bố phản đối mạnh mẽ các can thiệp nước ngoài vào công việc nội bộ của các quốc gia thành viên.
Kinh tế || Chuỗi cung ứng toàn cầu tiếp tục bị gián đoạn, ảnh hưởng trực tiếp đến hoạt động xuất nhập khẩu và chi phí logistics của doanh nghiệp Việt.
Kinh tế || Xuất khẩu gạo Việt Nam tiếp tục đạt kỷ lục mới với hơn 8 triệu tấn, khẳng định vị thế xuất khẩu gạo hàng đầu thế giới (cập nhật 66).
Chính trị || Liên Hợp Quốc thông qua nghị quyết mới về cải cách Hội đồng Bảo an, phản ánh mong muốn của nhiều nước đang phát triển có tiếng nói lớn hơn (cập nhật 56).
Kinh tế || Lạm phát tại Việt Nam trong tháng vừa qua được ghi nhận ở mức 3,2%, thấp hơn mục tiêu 4,5% mà Chính phủ đề ra cho cả năm (cập nhật 56).
Kinh tế || Sản lượng sản xuất công nghiệp tăng 8,5% trong 6 tháng đầu năm, trong đó ngành điện tử là động lực tăng trưởng chủ yếu (cập nhật 86).
Công nghệ || Làng công nghệ cao Hòa Lạc mở rộng thu hút thêm 50 doanh nghiệp mới, trong đó có nhiều startup AI và bán dẫn đến từ Hàn Quốc và Nhật Bản (cập nhật 79).
Kinh tế || Bộ Tài chính đề xuất tăng thuế tiêu thụ đặc biệt đối với đồ uống có đường nhằm bảo vệ sức khỏe cộng đồng và tăng thu ngân sách (cập nhật 61).
Thể thao || Đội tuyển futsal Việt Nam đứng vào nhóm hạt giống số 2 cho vòng loại World Cup futsal sau thành tích ấn tượng tại AFC Championship (cập nhật 113).
Chính trị || Hội nghị Bộ trưởng Ngoại giao ASEAN họp khẩn về tình hình căng thẳng trên Biển Đông sau loạt sự kiện va chạm tàu mới đây (cập nhật 58).
Kinh tế || Mô hình kinh tế chia sẻ phát triển mạnh với hàng chục nền tảng cho thuê xe, phòng ở và dịch vụ tài chính vi mô hoạt động tích cực (cập nhật 99).
Chính trị || Quốc hội Việt Nam xem xét Dự luật Bảo vệ dữ liệu cá nhân, đây là văn bản pháp luật quan trọng đặt nền tảng cho kinh tế số an toàn (cập nhật 120).
Công nghệ || Cuộc đua phát triển xe điện tại Đông Nam Á ngày càng nóng khi các hãng công nghệ Trung Quốc gia nhập thị trường với giá thành cạnh tranh.
Công nghệ || Xe tự lái thế hệ mới của Tesla đã hoàn tất thử nghiệm trên đường phố Hà Nội, đánh dấu bước tiến lớn trong lĩnh vực phương tiện tự hành tại Việt Nam (cập nhật 57).
Công nghệ || Tập đoàn Samsung tiếp tục mở rộng nhà máy sản xuất chip tại Việt Nam, biến nước ta thành một trong những cơ sở sản xuất điện tử lớn nhất thế giới (cập nhật 51).
Kinh tế || Chỉ số VN-Index tăng mạnh 15 điểm trong phiên giao dịch sáng nay, nhờ lực mua lan rộng ở nhóm cổ phiếu ngân hàng và bất động sản.
Công nghệ || Nền tảng giáo dục STEM trực tuyến kết hợp thực tế ảo cho phép học sinh học lập trình robot và thiết kế 3D ngay từ lớp 5 (cập nhật 95).
Công nghệ || Robot giao hàng tự động đang được thử nghiệm trên các con phố tại TP.HCM, hứa hẹn cách mạng hóa ngành logistics đô thị trong tương lai gần.
Công nghệ || Nền tảng thanh toán không tiền mặt MoMo ghi nhận 50 triệu giao dịch mỗi ngày, khẳng định xu thế thanh toán số ngày càng phổ biến.
Thể thao || Đội tuyển nam bóng chuyền Việt Nam lần đầu tiên vào vòng chung kết châu Á, đây là thành tích lịch sử chưa từng có của bóng chuyền Việt.
Thể thao || Nhà vô địch boxing Trương Đình Hoàng bảo vệ thành công đai WBA với màn hạ knock-out đối thủ người Indonesia ngay hiệp 4.
Thể thao || Kình ngư Nguyễn Huy Hoàng giành huy chương đồng tại giải vô địch bơi lội thế giới, kết quả tốt nhất từ trước đến nay của bơi Việt Nam ở đấu trường này (cập nhật 56).
Kinh tế || Thị trường chứng khoán phái sinh ghi nhận khối lượng giao dịch hợp đồng tương lai tăng vọt, phản ánh sự quan tâm ngày càng lớn của nhà đầu tư (cập nhật 60).
Kinh tế || Kim ngạch nhập khẩu máy móc thiết bị tăng mạnh, phản ánh xu hướng đầu tư mở rộng sản xuất của các doanh nghiệp trong nước (cập nhật 63).
Công nghệ || Công nghệ blockchain được ứng dụng rộng rãi trong quản lý chuỗi cung ứng thực phẩm, giúp truy xuất nguồn gốc hàng hóa chính xác và nhanh chóng hơn (cập nhật 109).
Kinh tế || Thị trường vàng trong nước biến động mạnh theo đà tăng của giá vàng thế giới, nhiều nhà đầu tư tranh thủ chốt lời ở vùng đỉnh.
Kinh tế || Chuỗi cung ứng toàn cầu tiếp tục bị gián đoạn, ảnh hưởng trực tiếp đến hoạt động xuất nhập khẩu và chi phí logistics của doanh nghiệp Việt (cập nhật 69).
Kinh tế || Ngân hàng Nhà nước bơm thanh khoản qua nghiệp vụ thị trường mở giúp lãi suất liên ngân hàng hạ nhiệt, ổn định mặt bằng lãi suất huy động.
Thể thao || Giải đua thuyền Đông Nam Á tổ chức tại vịnh Hạ Long thu hút sự tham gia của 12 đội thuyền quốc tế, quảng bá hình ảnh du lịch Việt Nam (cập nhật 101).
